"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","present","setSize","conjuction","task","correct","stimulus"
"[{""page_index"":0,""viewing_time"":1595},{""page_index"":1,""viewing_time"":7696}]","9292","instructions","0","9292","0.0-0.0","","","","","","",""
"","1034","canvas-keyboard-response","1","10829","0.0-1.0-0.0","f","true","20","false","response","true",""
"","null","html-keyboard-response","2","12341","0.0-1.0-1.0","null","","","","","","Correct!"
"","942","canvas-keyboard-response","3","13796","0.0-1.0-0.1","j","false","10","false","response","true",""
"","null","html-keyboard-response","4","15317","0.0-1.0-1.1","null","","","","","","Correct!"
"","1031","canvas-keyboard-response","5","16857","0.0-1.0-0.2","f","true","10","false","response","true",""
"","null","html-keyboard-response","6","18373","0.0-1.0-1.2","null","","","","","","Correct!"
"","1060","canvas-keyboard-response","7","19947","0.0-1.0-0.3","j","false","30","true","response","true",""
"","null","html-keyboard-response","8","21460","0.0-1.0-1.3","null","","","","","","Correct!"
"","599","canvas-keyboard-response","9","22573","0.0-1.0-0.4","f","true","30","false","response","true",""
"","null","html-keyboard-response","10","24093","0.0-1.0-1.4","null","","","","","","Correct!"
"","854","canvas-keyboard-response","11","25459","0.0-1.0-0.5","j","false","30","true","response","true",""
"","null","html-keyboard-response","12","26973","0.0-1.0-1.5","null","","","","","","Correct!"
"","1236","canvas-keyboard-response","13","28722","0.0-1.0-0.6","j","true","40","true","response","false",""
"","null","html-keyboard-response","14","30237","0.0-1.0-1.6","null","","","","","","Wrong"
"","1256","canvas-keyboard-response","15","32007","0.0-1.0-0.7","j","false","40","true","response","true",""
"","null","html-keyboard-response","16","33521","0.0-1.0-1.7","null","","","","","","Correct!"
"","1069","canvas-keyboard-response","17","35098","0.0-1.0-0.8","j","false","20","false","response","true",""
"","null","html-keyboard-response","18","36612","0.0-1.0-1.8","null","","","","","","Correct!"
"","732","canvas-keyboard-response","19","37857","0.0-1.0-0.9","f","true","30","false","response","true",""
"","null","html-keyboard-response","20","39372","0.0-1.0-1.9","null","","","","","","Correct!"
"","866","canvas-keyboard-response","21","40751","0.0-1.0-0.10","j","false","20","true","response","true",""
"","null","html-keyboard-response","22","42265","0.0-1.0-1.10","null","","","","","","Correct!"
"","665","canvas-keyboard-response","23","43438","0.0-1.0-0.11","f","false","40","true","response","false",""
"","null","html-keyboard-response","24","44953","0.0-1.0-1.11","null","","","","","","Wrong"
"","860","canvas-keyboard-response","25","46317","0.0-1.0-0.12","j","false","10","true","response","true",""
"","null","html-keyboard-response","26","47836","0.0-1.0-1.12","null","","","","","","Correct!"
"","1660","canvas-keyboard-response","27","50008","0.0-1.0-0.13","j","false","40","true","response","true",""
"","null","html-keyboard-response","28","51519","0.0-1.0-1.13","null","","","","","","Correct!"
"","1727","canvas-keyboard-response","29","53756","0.0-1.0-0.14","j","false","40","false","response","true",""
"","null","html-keyboard-response","30","55276","0.0-1.0-1.14","null","","","","","","Correct!"
"","1329","canvas-keyboard-response","31","57118","0.0-1.0-0.15","j","false","40","true","response","true",""
"","null","html-keyboard-response","32","58632","0.0-1.0-1.15","null","","","","","","Correct!"
"","1050","canvas-keyboard-response","33","60192","0.0-1.0-0.16","j","false","30","false","response","true",""
"","null","html-keyboard-response","34","61707","0.0-1.0-1.16","null","","","","","","Correct!"
"","673","canvas-keyboard-response","35","62892","0.0-1.0-0.17","j","false","20","false","response","true",""
"","null","html-keyboard-response","36","64412","0.0-1.0-1.17","null","","","","","","Correct!"
"","656","canvas-keyboard-response","37","65578","0.0-1.0-0.18","f","true","40","true","response","true",""
"","null","html-keyboard-response","38","67091","0.0-1.0-1.18","null","","","","","","Correct!"
"","1590","canvas-keyboard-response","39","69193","0.0-1.0-0.19","f","true","40","true","response","true",""
"","null","html-keyboard-response","40","70707","0.0-1.0-1.19","null","","","","","","Correct!"
"","840","canvas-keyboard-response","41","72058","0.0-1.0-0.20","j","false","20","true","response","true",""
